halflife_years,intervention,region,gender,location,lnpv,lnpv_lakhs,p_formal_treatment,max_cost_bcr_1.0,max_cost_bcr_2.0,max_cost_bcr_3.0
30,APPRENTICESHIP,west,female,urban,4696845.764738816,46.968457647388156,0.72,4696845.764738816,2348422.882369408,1565615.2549129387
30,APPRENTICESHIP,east,female,urban,3817866.287869965,38.178662878699654,0.72,3817866.287869965,1908933.1439349826,1272622.095956655
30,APPRENTICESHIP,north,female,rural,2480097.1434389283,24.800971434389282,0.72,2480097.1434389283,1240048.5717194641,826699.0478129761
30,APPRENTICESHIP,south,female,rural,2860223.5205308422,28.60223520530842,0.72,2860223.5205308422,1430111.7602654211,953407.8401769474
30,APPRENTICESHIP,west,female,rural,2745788.7203080743,27.45788720308074,0.72,2745788.7203080743,1372894.3601540371,915262.9067693581
30,APPRENTICESHIP,east,female,rural,2224056.107749536,22.24056107749536,0.72,2224056.107749536,1112028.053874768,741352.035916512
50,APPRENTICESHIP,north,male,urban,5612654.518009967,56.12654518009967,0.72,5612654.518009967,2806327.2590049836,1870884.8393366558
50,APPRENTICESHIP,south,male,urban,6460581.995586686,64.60581995586686,0.72,6460581.995586686,3230290.997793343,2153527.3318622285
50,APPRENTICESHIP,west,male,urban,6209644.356972097,62.096443569720975,0.72,6209644.356972097,3104822.1784860487,2069881.4523240326
50,APPRENTICESHIP,east,male,urban,5032039.150965619,50.32039150965619,0.72,5032039.150965619,2516019.5754828095,1677346.3836552063
50,APPRENTICESHIP,north,male,rural,3740904.3768169424,37.409043768169425,0.72,3740904.3768169424,1870452.1884084712,1246968.1256056475
50,APPRENTICESHIP,south,male,rural,4321555.797961323,43.21555797961322,0.72,4321555.797961323,2160777.8989806613,1440518.5993204408
50,APPRENTICESHIP,west,male,rural,4145709.965005917,41.45709965005917,0.72,4145709.965005917,2072854.9825029585,1381903.321668639
50,APPRENTICESHIP,east,male,rural,3350481.0709978607,33.50481070997861,0.72,3350481.0709978607,1675240.5354989304,1116827.0236659537
50,APPRENTICESHIP,north,female,urban,4403859.880406602,44.03859880406602,0.72,4403859.880406602,2201929.940203301,1467953.2934688674
50,APPRENTICESHIP,south,female,urban,5054653.023573219,50.54653023573219,0.72,5054653.023573219,2527326.5117866094,1684884.341191073
50,APPRENTICESHIP,west,female,urban,4864631.317970731,48.64631317970731,0.72,4864631.317970731,2432315.6589853656,1621543.7726569104
50,APPRENTICESHIP,east,female,urban,3953692.6881053285,39.53692688105328,0.72,3953692.6881053285,1976846.3440526642,1317897.5627017762
50,APPRENTICESHIP,north,female,rural,2574841.903789617,25.74841903789617,0.72,2574841.903789617,1287420.9518948086,858280.6345965391
50,APPRENTICESHIP,south,female,rural,2969927.9798842696,29.699279798842696,0.72,2969927.9798842696,1484963.9899421348,989975.9932947565
50,APPRENTICESHIP,west,female,rural,2850506.6133272545,28.505066133272546,0.72,2850506.6133272545,1425253.3066636273,950168.8711090848
50,APPRENTICESHIP,east,female,rural,2308827.7354317303,23.088277354317302,0.72,2308827.7354317303,1154413.8677158651,769609.24514391
