p_formal_rte,intervention,region,gender,location,lnpv,lnpv_lakhs,p_formal_treatment,max_cost_bcr_1.0,max_cost_bcr_2.0,max_cost_bcr_3.0
0.2,RTE,east,female,rural,404354.5489988828,4.043545489988828,0.13333333333333333,404354.5489988828,202177.2744994414,134784.84966629426
0.25,RTE,north,male,urban,1339461.8372353457,13.394618372353458,0.20833333333333334,1339461.8372353457,669730.9186176729,446487.2790784486
0.25,RTE,south,male,urban,2513641.3778021894,25.136413778021893,0.3472222222222222,2513641.3778021894,1256820.6889010947,837880.4592673965
0.25,RTE,west,male,urban,1968826.0988187913,19.688260988187913,0.2777777777777778,1968826.0988187913,984413.0494093957,656275.3662729304
0.25,RTE,east,male,urban,989548.0865384839,9.895480865384839,0.16666666666666666,989548.0865384839,494774.0432692419,329849.36217949464
0.25,RTE,north,male,rural,952982.7581289425,9.529827581289425,0.20833333333333334,952982.7581289425,476491.3790644712,317660.91937631415
0.25,RTE,south,male,rural,1737532.703017341,17.37532703017341,0.3472222222222222,1737532.703017341,868766.3515086705,579177.567672447
0.25,RTE,west,male,rural,1374559.4999200583,13.745594999200582,0.2777777777777778,1374559.4999200583,687279.7499600291,458186.49997335277
0.25,RTE,east,male,rural,715548.2302815997,7.155482302815996,0.16666666666666666,715548.2302815997,357774.11514079984,238516.07676053324
0.25,RTE,north,female,urban,1005567.9314270328,10.055679314270328,0.20833333333333334,1005567.9314270328,502783.9657135164,335189.3104756776
0.25,RTE,south,female,urban,1918843.044214963,19.18843044214963,0.3472222222222222,1918843.044214963,959421.5221074815,639614.3480716543
0.25,RTE,west,female,urban,1494487.8470201814,14.944878470201814,0.2777777777777778,1494487.8470201814,747243.9235100907,498162.61567339377
0.25,RTE,east,female,urban,735696.7462967313,7.3569674629673125,0.16666666666666666,735696.7462967313,367848.37314836564,245232.2487655771
0.25,RTE,north,female,rural,646692.4084076924,6.466924084076925,0.20833333333333334,646692.4084076924,323346.2042038462,215564.13613589748
0.25,RTE,south,female,rural,1181343.043161229,11.81343043161229,0.3472222222222222,1181343.043161229,590671.5215806145,393781.0143870763
0.25,RTE,west,female,rural,933973.0193142899,9.339730193142898,0.2777777777777778,933973.0193142899,466986.50965714495,311324.33977142995
0.25,RTE,east,female,rural,485070.3067873895,4.850703067873895,0.16666666666666666,485070.3067873895,242535.15339369475,161690.10226246316
0.3,RTE,north,male,urban,1598806.3055190602,15.988063055190603,0.25,1598806.3055190602,799403.1527595301,532935.4351730201
0.3,RTE,south,male,urban,3019215.2321530646,30.192152321530646,0.41666666666666663,3019215.2321530646,1509607.6160765323,1006405.0773843549
0.3,RTE,west,male,urban,2353167.3890194627,23.53167389019463,0.3333333333333333,2353167.3890194627,1176583.6945097314,784389.1296731542
0.3,RTE,east,male,urban,1174760.910745081,11.74760910745081,0.19999999999999998,1174760.910745081,587380.4553725405,391586.97024836036
0.3,RTE,north,male,rural,1118229.9854533465,11.182299854533465,0.25,1118229.9854533465,559114.9927266733,372743.32848444884
0.3,RTE,south,male,rural,2059670.584700628,20.59670584700628,0.41666666666666663,2059670.584700628,1029835.292350314,686556.861566876
0.3,RTE,west,male,rural,1619451.2956550855,16.194512956550856,0.3333333333333333,1619451.2956550855,809725.6478275427,539817.0985516951
0.3,RTE,east,male,rural,833560.7942958067,8.335607942958067,0.19999999999999998,833560.7942958067,416780.39714790334,277853.5980986022
0.3,RTE,north,female,urban,1212363.05809203,12.1236305809203,0.25,1212363.05809203,606181.529046015,404121.01936401
0.3,RTE,south,female,urban,2321975.6421103063,23.219756421103064,0.41666666666666663,2321975.6421103063,1160987.8210551532,773991.8807034354
0.3,RTE,west,female,urban,1800952.4742228244,18.009524742228244,0.3333333333333333,1800952.4742228244,900476.2371114122,600317.4914076081
0.3,RTE,east,female,urban,883381.0585755066,8.833810585755066,0.19999999999999998,883381.0585755066,441690.5292877533,294460.3528585022
0.3,RTE,north,female,rural,759714.7402869762,7.597147402869762,0.25,759714.7402869762,379857.3701434881,253238.2467623254
0.3,RTE,south,female,rural,1401672.1534525754,14.016721534525754,0.41666666666666663,1401672.1534525754,700836.0767262877,467224.05115085846
0.3,RTE,west,female,rural,1101468.9722584311,11.014689722584311,0.3333333333333333,1101468.9722584311,550734.4861292156,367156.3240861437
0.3,RTE,east,female,rural,565786.0645758966,5.657860645758966,0.19999999999999998,565786.0645758966,282893.0322879483,188595.3548586322
