intervention,region,gender,location,lnpv,treatment_lifetime_earnings,control_lifetime_earnings,p_formal_treatment,annual_differential,discount_rate
rte,west,female,urban,1708621.4426546285,9692410.117852574,5349549.376742652,0.3333333333333333,"[ 62427.23258082  64058.40175286  65713.32336504  67391.70667756
  76282.12757859  78185.87242396  80114.39056603  82067.24916055
  84043.9868521   86044.11361731  88067.11064107  90112.43022637
  92179.4957388   94267.70158637  97284.67262725  99433.28632711
 101601.23065822 103787.77793624 105992.17170544 108213.62694698
 110451.33032714 112704.44048591 114972.08836629 117253.3775845
 119547.38484127 121853.16037442 124169.72845267 126496.08791073
 128831.2127255  131174.05263334 133523.53378798 135878.55945889
 138238.01076972 140600.74747621 137626.64413983 139904.09997661
 142181.31015938 144457.10297643 146730.29044074 148999.66925369]",0.05
rte,west,female,rural,1033997.0845981891,6689939.636831931,4052943.6397444196,0.3333333333333333,"[37393.26905678 38400.95938916 39423.80073047 40461.61876758
 45833.62236267 47011.84412942 48205.91819575 49415.58135339
 50640.55234119 51880.53173929 53135.20188407 54404.22680444
 55687.25218006 56983.90532196 58843.16078499 60178.34335619
 61526.04242225 62885.80788802 64257.17137406 65639.64634189
 67032.72824468 68435.89470344 69848.60570909 71270.30385044
 72700.41456829 74138.34643567 75583.49146424 77035.22543696
 78492.90826677 79955.88438142 81423.483134   82895.01923932
 84369.79323554 85847.09197107 84065.04512424 85489.92614986
 86915.10404252 88339.84472632 89763.40363965 91185.02634037]",0.05
rte,east,male,urban,1091007.1246400657,8735152.696452636,6000759.669862082,0.19999999999999998,"[41545.31581992 42497.04906975 43460.55589375 44435.64351636
 50148.10565224 51249.52294831 52363.0009516  53488.2688085
 54625.04094945 55773.01703687 56931.88193026 58101.30566863
 59280.94347081 60470.43575402 62250.58583964 63470.03422647
 64698.25187386 65934.8166141  67179.29172059 68431.22604394
 69690.15416876 70955.59659091 72227.05991575 73504.03707714
 74786.00757759 76072.43774933 77362.78103654 78656.47829849
 79952.95813376 81251.63722524 82551.92070587 83853.20254493
 85154.86595461 86456.28381675 84479.59351857 85730.08925084
 86978.48223211 88224.1334681  89466.39635205 90704.61718414]",0.05
rte,east,male,rural,767664.705096161,6696998.688785298,4774502.830181391,0.19999999999999998,"[29297.98877424 29964.16289681 30638.4892819  31320.83200965
 35341.6752084  36112.22382127 36891.11254669 37678.15101921
 38473.13865449 39275.86461461 40086.10778513 40903.63676435
 41728.2098649  42559.57512802 43806.45174675 44658.55988888
 45516.69933597 46380.57469069 47249.88045989 48124.30115053
 49003.51137993 49887.17600023 50774.95023739 51666.47984462
 52561.40127051 53459.34184158 54359.91995963 55262.74531353
 56167.41910564 57073.53429264 57980.67584081 58888.42099543
 59796.33956445 60703.9942159  59310.11727419 60182.07900302
 61052.48549089 61920.89136903 62786.84602046 63649.89394168]",0.05
rte,east,female,urban,824340.6486142701,6265067.922567703,4198099.104058359,0.19999999999999998,"[31350.53889232 32071.79058431 32802.01909346 33541.07893296
 37856.43706809 38691.36806667 39535.50153669 40388.63269526
 41250.54555711 42121.01289425 42999.79620842 43886.64571693
 44781.30035202 45683.48777413 47032.02002198 47957.04720992
 48888.78553824 49826.91501275 50771.10454789 51721.01206952
 52676.28463342 53636.55855938 54601.45958129 55570.603013
 56543.59393037 57520.0273691  58499.48853885 59481.55305318
 60465.78717555 61451.74808116 62438.98413463 63427.03518328
 64415.43286585 65403.70093665 63912.01037452 64861.71853028
 65809.88432795 66756.0223524  67699.64137037 68640.24472521]",0.05
rte,east,female,rural,521283.80960055045,4528512.600964524,3222982.2599435328,0.19999999999999998,"[19892.36735952 20344.86580624 20802.90504357 21266.39278539
 23996.69969092 24520.10957926 25049.18835386 25583.80673868
 26123.82851339 26669.11048973 27219.50249594 27774.84736932
 28334.98095732 28899.73212715 29746.64038118 30325.48969141
 30908.43981872 31495.2901107  32085.83305377 32679.85433833
 33277.13293357 33877.44117206 34480.54484408 35086.20330193
 35694.16957402 36304.19048898 36916.00680964 37529.35337694
 38143.95926372 38759.54793839 39375.83743825 39992.54055264
 40609.36501556 41226.01370777 40279.61364912 40872.01982178
 41463.37276476 42053.36988937 42641.70503902 43228.06873498]",0.05
apprenticeship,north,male,urban,4554571.394793474,18449959.976942636,6560151.908109311,0.68,"[-88440.         205607.32279247 207562.89456763 209659.2736891
 211894.79221517 236561.44357563 239330.8828384  242247.83803364
 245310.08544949 248515.30725268 251861.09217257 255344.93624443
 258964.24361457 262716.32740965 266598.41067256 273157.85631625
 277330.20587465 281624.83555238 286038.589363   290568.22619828
 295210.42122247 299961.76734821 304818.77679584 309777.88273749
 314835.44102735 319987.73201926 325230.96247267 330561.2675478
 335974.71289061 341467.29680823 347034.95253488 352673.55058861
 358378.90121867 364146.75694307 369972.81517607 361816.72721633
 367524.64800285 373275.88033247 379066.09710511 384890.93208526
 390745.98292754]",0.05
apprenticeship,north,male,rural,3007582.606419137,13149316.744024532,5261234.381920435,0.68,"[-60540.         134762.98304772 136068.79548864 137474.59806808
 138979.26673647 155208.60439954 157084.1373864  159064.69093975
 161148.75233713 163334.7418106  165621.01297986 168005.85332845
 170487.48472456 173064.06398838 175733.68350754 180176.5178158
 183053.09668376 186017.43259636 189067.34704905 192200.60039114
 195414.89277247 198707.8651492  202077.10034999 205520.12420343
 209034.40672801 212617.36338508 216266.35639594 219978.69612337
 223751.6425182  227582.4066313  231468.15219115 235405.997247
 239393.01587773 243426.23996603 247502.66103748 242222.66332826
 246221.18599314 250252.38963349 254313.24165991 258400.68040091
 262511.61723281]",0.05
apprenticeship,north,female,urban,3596825.6687024394,13880113.498610841,4563259.944013304,0.68,"[-36888.         161598.14558344 163119.90663515 164747.57928011
 166479.87158149 185828.01365741 187966.9858684  190216.75085537
 192575.59495608 195041.73384561 197613.31308342 200288.40870451
 203065.02785656 205941.10948481 208914.52506642 213980.82569411
 217172.05132304 220454.68201771 223826.30525276 227284.44491403
 230826.56237414 234450.05762875 238152.27049495 241930.48187254
 245781.91506959 249703.73719273 253693.06060335 257746.94444
 261862.39620768 266036.3734343  270265.78539456 274547.49490128
 278878.32016411 283255.03671541 287674.37940289 281223.51166816
 285550.30889939 289908.49590967 294294.79326585 298705.89290022
 303138.46039755]",0.05
apprenticeship,north,female,rural,2076027.9031876016,8953759.47651954,3549758.9887514985,0.68,"[-17040.          91985.54932113  92875.58409078  93833.5317297
  94858.62631539 105933.30307918 107210.59914301 108559.21382117
 109978.11697053 111466.23292204 113022.44077714 114645.57473332
 116334.42444001 118087.735386   119904.20931951 122930.19322812
 124887.19650114 126903.76639799 128978.42076101 131109.63593392
 133295.8474066  135535.45049994 137826.80109165 140168.21638368
 142557.97571196 144994.32139899 147475.4596498  149999.56149174
 152564.76375835 155169.17011754 157810.85214436 160487.85043822
 163198.17578467 165939.81036145 168710.70898868 165103.90746094
 167821.66546439 170561.54290605 173321.47850765 176099.39129333
 178893.18203699]",0.05
apprenticeship,south,male,urban,5233933.238886004,21351638.920670424,7742741.448982259,0.68,"[-88440.         237263.09670434 239406.70642783 241710.04586995
 244171.18802516 272465.48328722 275524.32637637 278750.36180389
 282141.03315867 285693.67858609 289405.53162099 293273.72208528
 297295.27705292 301467.12188495 305786.08133722 313172.69218498
 317819.3402868  322604.27694238 327523.90350921 332574.52657111
 337752.35954801 343053.52439547 348474.05339546 354009.89104014
 359656.89601026 365410.84324933 371267.42613488 377222.25874761
 383270.87823932 389408.74730015 395631.25672542 401933.72808222
 408311.41647572 414759.51341477 421273.14977635 411869.69517572
 418251.98698799 424682.98856657 431157.80955946 437671.51690685
 444219.1382411 ]",0.05
apprenticeship,south,male,rural,3469662.4415847864,15214052.019396828,6154955.330983019,0.68,"[-60540.         156244.25494758 157677.24547016 159223.54990052
 160881.86621101 179574.02985878 181647.60121004 183840.06736443
 186149.68618096 188574.64047712 191113.03856294 193762.9148218
 196522.23033997 199388.87358675 202360.66114731 207371.37834919
 210576.54449874 213880.80673862 217281.67935368 220776.6086253
 224362.97392673 228038.08888312 231799.20259768 235643.50094504
 239568.10793306 243570.0871338  247646.44318481 251794.12336109
 256010.01921851 260290.96830907 264633.75596805 269035.11717343
 273491.73847734 278000.26000929 282557.27755091 276435.55172662
 280905.76845886 285412.60371764 289952.63097125 294522.39198898
 299118.39923364]",0.05
